DEPTH,CALI,GR,DT,RHOB,ILD,NPHI,lstrat,wellname
601.0,,14.5674,,,,,Andrew,211/18-9
601.5,,14.1059,,,,,Andrew,211/18-9
602.0,,12.7892,,,,,Andrew,211/18-9
602.5,,11.785,,,,,Andrew,211/18-9
603.0,,11.06,,,,,Andrew,211/18-9
603.5,,10.3844,,,,,Andrew,211/18-9
604.0,,10.8722,,,,,Andrew,211/18-9
604.5,,11.4329,,,,,Andrew,211/18-9
605.0,,11.996,,,,,Andrew,211/18-9
605.5,,11.9511,,,,,Andrew,211/18-9
606.0,,11.0723,,,,,Andrew,211/18-9
606.5,,10.4553,,,,,Andrew,211/18-9
607.0,,11.8684,,,,,Andrew,211/18-9
607.5,,13.6186,,,,,Andrew,211/18-9
608.0,,14.7432,,,,,Andrew,211/18-9
608.5,,14.1282,,,,,Andrew,211/18-9
609.0,,13.4374,,,,,Andrew,211/18-9
609.5,,12.4976,,,,,Andrew,211/18-9
610.0,,12.6897,,,,,Andrew,211/18-9
610.5,,12.9479,,,,,Andrew,211/18-9
611.0,,13.2645,,,,,Andrew,211/18-9
611.5,,14.2093,,,,,Andrew,211/18-9
612.0,,15.154,,,,,Andrew,211/18-9
612.5,,15.327,,,,,Andrew,211/18-9
613.0,,15.1896,,,,,Andrew,211/18-9
613.5,,14.7993,,,,,Andrew,211/18-9
614.0,,12.8349,,,,,Andrew,211/18-9
614.5,,12.2386,,,,,Andrew,211/18-9
615.0,,12.5656,,,,,Andrew,211/18-9
615.5,,12.8926,,,,,Andrew,211/18-9
616.0,,13.2196,,,,,Andrew,211/18-9
616.5,,12.8086,,,,,Andrew,211/18-9
617.0,,12.1621,,,,,Andrew,211/18-9
617.5,,13.1335,,,,,Andrew,211/18-9
618.0,,12.6822,,,,,Andrew,211/18-9
618.5,,10.3446,,,,,Andrew,211/18-9
619.0,,10.1925,,,,,Andrew,211/18-9
619.5,,11.2948,,,,,Andrew,211/18-9
620.0,,12.4219,,,,,Andrew,211/18-9
620.5,,13.7124,,,,,Andrew,211/18-9
621.0,,13.8312,,,,,Andrew,211/18-9
621.5,,14.2095,,,,,Andrew,211/18-9
622.0,,14.5059,,,,,Andrew,211/18-9
622.5,,12.6901,,,,,Andrew,211/18-9
623.0,,10.9484,,,,,Andrew,211/18-9
623.5,,10.7725,,,,,Andrew,211/18-9
624.0,,11.2797,,,,,Andrew,211/18-9
624.5,,10.6341,,,,,Andrew,211/18-9
625.0,,10.6786,,,,,Andrew,211/18-9
625.5,,11.6628,,,,,Andrew,211/18-9
626.0,,13.2232,,,,,Andrew,211/18-9
626.5,,14.275,,,,,Andrew,211/18-9
627.0,,15.3268,,,,,Andrew,211/18-9
627.5,,14.9599,,,,,Andrew,211/18-9
628.0,,14.0184,,,,,Andrew,211/18-9
628.5,,13.2295,,,,,Andrew,211/18-9
629.0,,13.1813,,,,,Andrew,211/18-9
629.5,,12.4853,,,,,Andrew,211/18-9
630.0,,11.355,,,,,Andrew,211/18-9
630.5,,10.7314,,,,,Andrew,211/18-9
631.0,,11.9332,,,,,Andrew,211/18-9
631.5,,13.1351,,,,,Andrew,211/18-9
632.0,,13.7784,,,,,Andrew,211/18-9
632.5,,15.14,,,,,Andrew,211/18-9
633.0,,14.3709,,,,,Andrew,211/18-9
633.5,,13.5998,,,,,Andrew,211/18-9
634.0,,13.6251,,,,,Andrew,211/18-9
634.5,,12.7165,,,,,Andrew,211/18-9
635.0,,11.7439,,,,,Andrew,211/18-9
635.5,,11.2835,,,,,Andrew,211/18-9
636.0,,11.2356,,,,,Andrew,211/18-9
636.5,,9.8965,,,,,Andrew,211/18-9
637.0,,9.4471,,,,,Andrew,211/18-9
637.5,,10.1271,,,,,Andrew,211/18-9
638.0,,10.3933,,,,,Andrew,211/18-9
638.5,,10.5816,,,,,Andrew,211/18-9
639.0,,11.34,,,,,Andrew,211/18-9
639.5,,12.2852,,,,,Andrew,211/18-9
640.0,,12.884,,,,,Andrew,211/18-9
640.5,,13.7275,,,,,Andrew,211/18-9
641.0,,14.5595,,,,,Andrew,211/18-9
641.5,,15.2355,,,,,Andrew,211/18-9
642.0,,15.2903,,,,,Andrew,211/18-9
642.5,,15.0874,,,,,Andrew,211/18-9
643.0,,15.2958,,,,,Andrew,211/18-9
643.5,,16.0779,,,,,Andrew,211/18-9
644.0,,17.7576,,,,,Andrew,211/18-9
644.5,,19.4376,,,,,Andrew,211/18-9
645.0,,21.1813,,,,,Andrew,211/18-9
645.5,,22.9801,,,,,Andrew,211/18-9
646.0,,24.3936,,,,,Andrew,211/18-9
646.5,,25.4747,,,,,Andrew,211/18-9
647.0,,25.4329,,,,,Andrew,211/18-9
647.5,,22.7876,,,,,Andrew,211/18-9
648.0,,19.5376,,,,,Andrew,211/18-9
648.5,,18.4049,,,,,Andrew,211/18-9
649.0,,18.0611,,,,,Andrew,211/18-9
649.5,,17.2017,,,,,Andrew,211/18-9
650.0,,17.2001,,,,,Andrew,211/18-9
650.5,,17.6094,,,,,Andrew,211/18-9
651.0,,18.0602,,,,,Andrew,211/18-9
651.5,,18.9135,,,,,Andrew,211/18-9
652.0,,19.0546,,,,,Andrew,211/18-9
652.5,,19.8019,,,,,Andrew,211/18-9
653.0,,20.7043,,,,,Andrew,211/18-9
653.5,,19.5034,,,,,Andrew,211/18-9
654.0,,18.3023,,,,,Andrew,211/18-9
654.5,,15.6915,,,,,Andrew,211/18-9
655.0,,13.9535,,,,,Andrew,211/18-9
655.5,,14.8554,,,,,Andrew,211/18-9
656.0,,15.3461,,,,,Andrew,211/18-9
656.5,,14.6611,,,,,Andrew,211/18-9
657.0,,14.4,,,,,Andrew,211/18-9
657.5,,14.7427,,,,,Andrew,211/18-9
658.0,,14.6071,,,,,Andrew,211/18-9
658.5,,14.6,,,,,Andrew,211/18-9
659.0,,15.1364,,,,,Andrew,211/18-9
659.5,,15.7145,,,,,Andrew,211/18-9
660.0,,16.2,,,,,Andrew,211/18-9
660.5,,15.7404,,,,,Andrew,211/18-9
661.0,,15.2193,,,,,Andrew,211/18-9
661.5,,15.2306,,,,,Andrew,211/18-9
662.0,,14.5472,,,,,Andrew,211/18-9
662.5,,13.3467,,,,,Andrew,211/18-9
663.0,,12.7677,,,,,Andrew,211/18-9
663.5,,13.4025,,,,,Andrew,211/18-9
664.0,,13.9454,,,,,Andrew,211/18-9
664.5,,13.7223,,,,,Andrew,211/18-9
665.0,,12.8228,,,,,Andrew,211/18-9
665.5,,12.4,,,,,Andrew,211/18-9
666.0,,12.5471,,,,,Andrew,211/18-9
666.5,,13.058,,,,,Andrew,211/18-9
667.0,,13.8726,,,,,Andrew,211/18-9
667.5,,16.1171,,,,,Andrew,211/18-9
668.0,,17.8,,,,,Andrew,211/18-9
668.5,,17.204,,,,,Andrew,211/18-9
669.0,,17.2881,,,,,Andrew,211/18-9
669.5,,19.9324,,,,,Andrew,211/18-9
670.0,,23.6866,,,,,Andrew,211/18-9
670.5,,25.4775,,,,,Andrew,211/18-9
671.0,,25.4161,,,,,Andrew,211/18-9
671.5,,23.5738,,,,,Andrew,211/18-9
672.0,,20.072,,,,,Andrew,211/18-9
672.5,,17.3636,,,,,Andrew,211/18-9
673.0,,14.8748,,,,,Andrew,211/18-9
673.5,,15.133,,,,,Andrew,211/18-9
674.0,,15.5842,,,,,Andrew,211/18-9
674.5,,14.5244,,,,,Andrew,211/18-9
675.0,,13.7191,,,,,Andrew,211/18-9
675.5,,14.6143,,,,,Andrew,211/18-9
676.0,,14.6814,,,,,Andrew,211/18-9
676.5,,14.6908,,,,,Andrew,211/18-9
677.0,,15.1322,,,,,Andrew,211/18-9
677.5,,15.867,,,,,Andrew,211/18-9
678.0,,16.4821,,,,,Andrew,211/18-9
678.5,,15.697,,,,,Andrew,211/18-9
679.0,,14.096,,,,,Andrew,211/18-9
679.5,,15.6798,,,,,Andrew,211/18-9
