,Well_Number,Depth_MD,Pick_Name,x,y
526,13/21a- 3,183.0,Lista,-1.812075, 58.297375
527,13/21a- 3,401.0,Maureen,-1.812075, 58.297375
531,13/21a- 4,168.0,Lista,-1.824407, 58.29514
532,13/21a- 4,385.0,Maureen,-1.824407, 58.29514
536,13/21a- 5,394.0,Maureen,-1.854869, 58.303717
570,13/22a- 10,412.0,Maureen,-1.733525, 58.315294
577,13/22a- 11,450.0,Maureen,-1.674006, 58.309208
585,13/22a- 12,390.0,Maureen,-1.7564, 58.316025
592,13/22a- 13,453.0,Maureen,-1.747069, 58.291358
599,13/22a- 14,399.0,Maureen,-1.785072, 58.319494
606,13/22a- 15,471.0,Maureen,-1.650833, 58.314653
614,13/22a- 16,411.0,Maureen,-1.780419, 58.295642
621,13/22a- 17,426.0,Maureen,-1.676439, 58.300792
627,13/22a- 18,407.0,Maureen,-1.726467, 58.299158
639,13/22a- 21,446.0,Maureen,-1.72895, 58.287372
645,13/22a- 22,471.0,Maureen,-1.666871, 58.316184
708,13/22a- 3,407.0,Maureen,-1.710194, 58.293644
713,13/22a- 5,401.0,Maureen,-1.779919, 58.303094
720,13/22a- 6,406.0,Maureen,-1.716372, 58.32375
727,13/22a- 7,418.0,Maureen,-1.744758, 58.309486
734,13/22a- 8,384.0,Maureen,-1.759739, 58.306033
738,13/22a- 9A,422.0,Maureen,-1.716314, 58.308594
745,13/22b- 19,573.0,Lista,-1.691378, 58.205861
746,13/22b- 19,792.0,Maureen,-1.691378, 58.205861
756,13/22b- 20,640.0,Maureen,-1.7142, 58.267769
762,13/22b- 4,740.0,Maureen,-1.690567, 58.226828
781,13/23- 1,570.0,Lista,-1.459081, 58.179902
782,13/23- 1,926.0,Maureen,-1.459081, 58.179902
795,13/23- 2,438.0,Maureen,-1.583458, 58.310556
798,13/23- 3,588.0,Maureen,-1.531556, 58.327975
854,13/24b- 3,614.0,Lista,-1.352061, 58.205747
855,13/24b- 3,801.0,Maureen,-1.352061, 58.205747
912,13/27a- 3,512.0,Maureen,-1.665036, 58.105861
957,13/28a- 5,130.0,Lista,-1.419681, 58.109653
958,13/28a- 5,902.0,Maureen,-1.419681, 58.109653
993,13/28b- 8,638.0,Maureen,-1.514313, 58.071656
1022,13/29- 3,135.0,Lista,-1.363417, 58.118611
1023,13/29- 3,1001.0,Maureen,-1.363417, 58.118611
1034,13/29a- 4Z,335.0,Lista,-1.346392, 58.092417
1035,13/29a- 4Z,1100.0,Maureen,-1.346392, 58.092417
1045,13/29b- 5,762.0,Lista,-1.3628, 58.153153
1046,13/29b- 5,952.0,Maureen,-1.3628, 58.153153
1054,13/29b- 6,914.0,Maureen,-1.344162, 58.166386
1126,14/02- 1,324.0,Balder,-0.642619, 58.863017
