,OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
84,315,15/11- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,0.07493294900001501,58.500765468999994
85,319,15/11b- 5,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.1820290640000053,58.53934322999999
86,321,15/12- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,0.30668911599997273,58.502157415999996
87,328,15/13- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,0.5306017170000246,58.55598118900002
88,329,15/13- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.4973241690000236,58.570168298999995
89,330,15/13a- 10,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,0.4650592329999768,58.505590514000005
90,332,15/13a- 4Z,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.5596384799999896,58.556495568
91,333,15/13a- 7Z,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.5315913809999984,58.56394349499999
125,487,15/16- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,0.09683738100000028,58.372214015999994
126,496,14/20b- 30,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.1731657509999991,58.45839380000001
