,Well_Number,Depth_MD,Pick_Name,x,y
1978,14/20- 1,560.0,Upper Mousa,-0.092972, 58.33725
1979,14/20- 1,664.0,Middle Mousa,-0.092972, 58.33725
1980,14/20- 1,792.0,Lower Mousa,-0.092972, 58.33725
1981,14/20- 1,871.0,Balder,-0.092972, 58.33725
1982,14/20- 1,954.0,Beauly,-0.092972, 58.33725
1983,14/20- 1,1000.0,Dornoch,-0.092972, 58.33725
1984,14/20- 1,1163.0,Sele,-0.092972, 58.33725
1985,14/20- 1,1321.0,Lista,-0.092972, 58.33725
1986,14/20- 1,1814.0,Maureen,-0.092972, 58.33725
1987,14/20- 1,2010.0,Ekofisk,-0.092972, 58.33725
1988,14/20- 1,2032.0,Upper Cretaceous Chalk,-0.092972, 58.33725
1989,14/20- 1,2242.0,Kimmeridge Clay,-0.092972, 58.33725
1990,14/20- 1,2385.0,Piper,-0.092972, 58.33725
1991,14/20- 1,2448.0,Sgiath,-0.092972, 58.33725
1992,14/20- 1,2485.0,Halibut Carbonate,-0.092972, 58.33725
1993,14/20- 1,2518.0,Firth Coal,-0.092972, 58.33725
1994,14/20- 10,533.0,Upper Mousa,-0.122056, 58.354194
1995,14/20- 10,652.0,Middle Mousa,-0.122056, 58.354194
1996,14/20- 10,721.0,Lower Mousa,-0.122056, 58.354194
1997,14/20- 10,815.0,Beauly,-0.122056, 58.354194
1998,14/20- 10,960.0,Dornoch,-0.122056, 58.354194
1999,14/20- 10,1076.0,Sele,-0.122056, 58.354194
2000,14/20- 10,1284.0,Lista,-0.122056, 58.354194
2001,14/20- 10,1797.0,Maureen,-0.122056, 58.354194
2002,14/20- 10,2078.0,Upper Cretaceous Chalk,-0.122056, 58.354194
2003,14/20- 10,2551.0,Rodby,-0.122056, 58.354194
2004,14/20- 10,2624.0,Sola,-0.122056, 58.354194
2005,14/20- 10,2715.0,Valhall,-0.122056, 58.354194
2006,14/20- 10,2822.0,Kimmeridge Clay,-0.122056, 58.354194
2007,14/20- 10,2936.0,Piper,-0.122056, 58.354194
2008,14/20- 10,3102.0,Smith Bank,-0.122056, 58.354194
2009,14/20- 10,3130.0,Turbot Anhydrite,-0.122056, 58.354194
2010,14/20- 11,558.0,Upper Mousa,-0.107444, 58.334972
2011,14/20- 11,658.0,Middle Mousa,-0.107444, 58.334972
2012,14/20- 11,712.0,Lower Mousa,-0.107444, 58.334972
2013,14/20- 11,850.0,Beauly,-0.107444, 58.334972
2014,14/20- 11,982.0,Dornoch,-0.107444, 58.334972
2015,14/20- 11,1085.0,Sele,-0.107444, 58.334972
2016,14/20- 11,1361.0,Lista,-0.107444, 58.334972
2017,14/20- 11,1826.0,Maureen,-0.107444, 58.334972
2018,14/20- 11,2028.0,Upper Cretaceous Chalk,-0.107444, 58.334972
2019,14/20- 11,2295.0,Kimmeridge Clay,-0.107444, 58.334972
2020,14/20- 11,2382.0,Piper,-0.107444, 58.334972
2021,14/20- 11,2531.0,Smith Bank,-0.107444, 58.334972
2022,14/20- 11,2550.0,Halibut Carbonate,-0.107444, 58.334972
2023,14/20- 11,2585.0,Carboniferous Undifferentiated,-0.107444, 58.334972
2024,14/20- 12,516.0,Upper Mousa,-0.12235, 58.402917
2025,14/20- 12,661.0,Middle Mousa,-0.12235, 58.402917
2026,14/20- 12,703.0,Lower Mousa,-0.12235, 58.402917
2027,14/20- 12,771.0,Balder,-0.12235, 58.402917
2028,14/20- 12,860.0,Beauly,-0.12235, 58.402917
2029,14/20- 12,923.0,Dornoch,-0.12235, 58.402917
2030,14/20- 12,997.0,Sele,-0.12235, 58.402917
2031,14/20- 12,1241.0,Lista,-0.12235, 58.402917
2032,14/20- 12,1832.0,Maureen,-0.12235, 58.402917
2033,14/20- 12,1973.0,Upper Cretaceous Chalk,-0.12235, 58.402917
2034,14/20- 12,2480.0,Rodby,-0.12235, 58.402917
2035,14/20- 12,2605.0,Sola,-0.12235, 58.402917
2036,14/20- 12,2693.0,Valhall,-0.12235, 58.402917
2037,14/20- 12,2787.0,Kimmeridge Clay,-0.12235, 58.402917
2038,14/20- 12,2853.0,Piper,-0.12235, 58.402917
2039,14/20- 12,2912.0,Sgiath,-0.12235, 58.402917
2040,14/20- 12,2919.0,Smith Bank,-0.12235, 58.402917
2041,14/20- 13,515.0,Upper Mousa,-0.122311, 58.402975
2042,14/20- 13,658.0,Middle Mousa,-0.122311, 58.402975
2043,14/20- 13,723.0,Lower Mousa,-0.122311, 58.402975
2044,14/20- 13,781.0,Balder,-0.122311, 58.402975
2045,14/20- 13,807.0,Beauly,-0.122311, 58.402975
2046,14/20- 13,922.0,Dornoch,-0.122311, 58.402975
2047,14/20- 13,1008.0,Sele,-0.122311, 58.402975
2048,14/20- 13,1350.0,Lista,-0.122311, 58.402975
2049,14/20- 13,1894.0,Maureen,-0.122311, 58.402975
2050,14/20- 13,2046.0,Upper Cretaceous Chalk,-0.122311, 58.402975
2051,14/20- 13,2622.0,Rodby,-0.122311, 58.402975
2052,14/20- 13,2776.0,Sola,-0.122311, 58.402975
2053,14/20- 13,2862.0,Valhall,-0.122311, 58.402975
2054,14/20- 13,2938.0,Kimmeridge Clay,-0.122311, 58.402975
2055,14/20- 13,2966.0,Piper,-0.122311, 58.402975
2056,14/20- 13,2993.0,Smith Bank,-0.122311, 58.402975
2057,14/20- 13,3124.0,Halibut Carbonate,-0.122311, 58.402975
2058,14/20- 13,3164.0,Carboniferous Undifferentiated,-0.122311, 58.402975
2059,14/20- 14,513.0,Upper Mousa,-0.122258, 58.403044
2060,14/20- 14,657.0,Middle Mousa,-0.122258, 58.403044
2061,14/20- 14,678.0,Lower Mousa,-0.122258, 58.403044
2062,14/20- 14,779.0,Beauly,-0.122258, 58.403044
2063,14/20- 14,930.0,Dornoch,-0.122258, 58.403044
2064,14/20- 14,1021.0,Sele,-0.122258, 58.403044
2065,14/20- 14,1360.0,Lista,-0.122258, 58.403044
2066,14/20- 14,2020.0,Maureen,-0.122258, 58.403044
2067,14/20- 14,2197.0,Upper Cretaceous Chalk,-0.122258, 58.403044
2068,14/20- 14,2767.0,Rodby,-0.122258, 58.403044
2069,14/20- 14,2925.0,Sola,-0.122258, 58.403044
2070,14/20- 14,2978.0,Valhall,-0.122258, 58.403044
2071,14/20- 14,3060.0,Kimmeridge Clay,-0.122258, 58.403044
2072,14/20- 14,3062.0,Piper,-0.122258, 58.403044
2073,14/20- 14,3124.0,Smith Bank,-0.122258, 58.403044
2074,14/20- 14,3224.0,Turbot Anhydrite,-0.122258, 58.403044
2090,14/20- 2,537.0,Upper Mousa,-0.144361, 58.341944
2091,14/20- 2,655.0,Middle Mousa,-0.144361, 58.341944
2092,14/20- 2,711.0,Lower Mousa,-0.144361, 58.341944
2093,14/20- 2,807.0,Beauly,-0.144361, 58.341944
2094,14/20- 2,957.0,Dornoch,-0.144361, 58.341944
2095,14/20- 2,1132.0,Sele,-0.144361, 58.341944
2096,14/20- 2,1316.0,Lista,-0.144361, 58.341944
2097,14/20- 2,1783.0,Maureen,-0.144361, 58.341944
2098,14/20- 2,2038.0,Upper Cretaceous Chalk,-0.144361, 58.341944
2099,14/20- 2,2372.0,Valhall,-0.144361, 58.341944
2100,14/20- 2,2381.0,Kimmeridge Clay,-0.144361, 58.341944
2101,14/20- 2,2429.0,Piper,-0.144361, 58.341944
2102,14/20- 2,2561.0,Smith Bank,-0.144361, 58.341944
2103,14/20- 2,2633.0,Turbot Anhydrite,-0.144361, 58.341944
2133,14/20- 5,517.0,Upper Mousa,-0.123069, 58.394375
2134,14/20- 5,649.0,Middle Mousa,-0.123069, 58.394375
2135,14/20- 5,709.0,Lower Mousa,-0.123069, 58.394375
2136,14/20- 5,791.0,Beauly,-0.123069, 58.394375
2137,14/20- 5,965.0,Dornoch,-0.123069, 58.394375
2138,14/20- 5,1053.0,Sele,-0.123069, 58.394375
2139,14/20- 5,1248.0,Lista,-0.123069, 58.394375
2140,14/20- 5,1834.0,Maureen,-0.123069, 58.394375
2141,14/20- 5,2014.0,Upper Cretaceous Chalk,-0.123069, 58.394375
2142,14/20- 5,2549.0,Rodby,-0.123069, 58.394375
2143,14/20- 5,2679.0,Sola,-0.123069, 58.394375
2144,14/20- 5,2757.0,Valhall,-0.123069, 58.394375
2145,14/20- 5,2977.0,Kimmeridge Clay,-0.123069, 58.394375
2146,14/20- 5,3117.0,Piper,-0.123069, 58.394375
2147,14/20- 5,3160.0,Sgiath,-0.123069, 58.394375
2148,14/20- 5,3180.0,Smith Bank,-0.123069, 58.394375
2167,14/20- 7,562.0,Horda,-0.040917, 58.383806
2168,14/20- 7,675.0,Middle Mousa,-0.040917, 58.383806
2169,14/20- 7,744.0,Lower Mousa,-0.040917, 58.383806
2170,14/20- 7,857.0,Beauly,-0.040917, 58.383806
2171,14/20- 7,1039.0,Dornoch,-0.040917, 58.383806
2172,14/20- 7,1157.0,Sele,-0.040917, 58.383806
2173,14/20- 7,1326.0,Lista,-0.040917, 58.383806
2174,14/20- 7,1935.0,Maureen,-0.040917, 58.383806
2175,14/20- 7,2100.0,Upper Cretaceous Chalk,-0.040917, 58.383806
2176,14/20- 7,2667.0,Rodby,-0.040917, 58.383806
2177,14/20- 7,2866.0,Sola,-0.040917, 58.383806
2178,14/20- 7,2936.0,Valhall,-0.040917, 58.383806
2179,14/20- 7,3303.0,Kimmeridge Clay,-0.040917, 58.383806
2180,14/20- 7,3414.0,Piper,-0.040917, 58.383806
2181,14/20- 7,3445.0,Smith Bank,-0.040917, 58.383806
2182,14/20- 7,3502.0,Halibut Carbonate,-0.040917, 58.383806
2183,14/20- 8,803.0,Beauly,-0.105806, 58.411472
2184,14/20- 8,931.0,Dornoch,-0.105806, 58.411472
2185,14/20- 8,1276.0,Lista,-0.105806, 58.411472
2186,14/20- 8,1881.0,Maureen,-0.105806, 58.411472
2187,14/20- 8,1975.0,Upper Cretaceous Chalk,-0.105806, 58.411472
2188,14/20- 8,2531.0,Rodby,-0.105806, 58.411472
2189,14/20- 8,2671.0,Sola,-0.105806, 58.411472
2190,14/20- 8,2775.0,Valhall,-0.105806, 58.411472
2191,14/20- 8,3058.0,Kimmeridge Clay,-0.105806, 58.411472
2192,14/20- 8,3104.0,Smith Bank,-0.105806, 58.411472
2193,14/20- 8,3138.0,Turbot Anhydrite,-0.105806, 58.411472
2194,14/20- 9,501.0,Upper Mousa,-0.018611, 58.496492
2195,14/20- 9,613.0,Middle Mousa,-0.018611, 58.496492
2196,14/20- 9,718.0,Lower Mousa,-0.018611, 58.496492
2197,14/20- 9,798.0,Balder,-0.018611, 58.496492
2198,14/20- 9,856.0,Beauly,-0.018611, 58.496492
2199,14/20- 9,920.0,Dornoch,-0.018611, 58.496492
2200,14/20- 9,1209.0,Sele,-0.018611, 58.496492
2201,14/20- 9,1283.0,Lista,-0.018611, 58.496492
2202,14/20- 9,1895.0,Maureen,-0.018611, 58.496492
2203,14/20- 9,2125.0,Upper Cretaceous Chalk,-0.018611, 58.496492
2204,14/20- 9,2725.0,Valhall,-0.018611, 58.496492
2205,14/20- 9,2749.0,Kimmeridge Clay,-0.018611, 58.496492
2206,14/20- 9,2758.0,Piper,-0.018611, 58.496492
2207,14/20- 9,2824.0,Sgiath,-0.018611, 58.496492
2208,14/20- 9,2828.0,Smith Bank,-0.018611, 58.496492
2209,14/20- 9,2975.0,Turbot Anhydrite,-0.018611, 58.496492
2822,15/11- 1,509.0,Upper Mousa,0.076583, 58.501389
2823,15/11- 1,611.0,Middle Mousa,0.076583, 58.501389
2824,15/11- 1,704.0,Horda,0.076583, 58.501389
2825,15/11- 1,852.0,Beauly,0.076583, 58.501389
2826,15/11- 1,1013.0,Dornoch,0.076583, 58.501389
2827,15/11- 1,1192.0,Sele,0.076583, 58.501389
2828,15/11- 1,1408.0,Lista,0.076583, 58.501389
2829,15/11- 1,1674.0,Maureen,0.076583, 58.501389
2830,15/11- 1,1798.0,Ekofisk,0.076583, 58.501389
2831,15/11- 1,1835.0,Upper Cretaceous Chalk,0.076583, 58.501389
2832,15/11- 1,1947.0,Kimmeridge Clay,0.076583, 58.501389
2833,15/11- 1,1969.0,Piper,0.076583, 58.501389
2834,15/11- 1,2024.0,Sgiath,0.076583, 58.501389
2835,15/11- 1,2036.0,Smith Bank,0.076583, 58.501389
2836,15/11- 1,2143.0,Turbot Anhydrite,0.076583, 58.501389
2837,15/11- 1,2177.0,Halibut Carbonate,0.076583, 58.501389
2838,15/11- 1,2217.0,Carboniferous Undifferentiated,0.076583, 58.501389
2886,15/11b- 5,941.0,Beauly,0.183678, 58.539964
2887,15/11b- 5,1102.0,Dornoch,0.183678, 58.539964
2888,15/11b- 5,1471.0,Sele,0.183678, 58.539964
2889,15/11b- 5,1621.0,Lista,0.183678, 58.539964
2890,15/11b- 5,2329.0,Maureen,0.183678, 58.539964
2891,15/11b- 5,2489.0,Ekofisk,0.183678, 58.539964
2892,15/11b- 5,2533.0,Upper Cretaceous Chalk,0.183678, 58.539964
2893,15/11b- 5,2917.0,Lower Cretaceous Undifferentiated,0.183678, 58.539964
2894,15/11b- 5,3015.0,Kimmeridge Clay,0.183678, 58.539964
2895,15/11b- 5,3184.0,Piper,0.183678, 58.539964
2896,15/11b- 5,3308.0,Pentland,0.183678, 58.539964
2897,15/11b- 5,3400.0,Smith Bank,0.183678, 58.539964
2898,15/12- 1,564.0,Horda,0.308333, 58.502778
2899,15/12- 1,746.0,Middle Mousa,0.308333, 58.502778
2900,15/12- 1,970.0,Horda,0.308333, 58.502778
2901,15/12- 1,1032.0,Balder,0.308333, 58.502778
2902,15/12- 1,1074.0,Beauly,0.308333, 58.502778
2903,15/12- 1,1122.0,Dornoch,0.308333, 58.502778
2904,15/12- 1,1329.0,Sele,0.308333, 58.502778
2905,15/12- 1,1471.0,Lista,0.308333, 58.502778
2906,15/12- 1,2084.0,Maureen,0.308333, 58.502778
2907,15/12- 1,2138.0,Ekofisk,0.308333, 58.502778
2908,15/12- 1,2192.0,Upper Cretaceous Chalk,0.308333, 58.502778
2909,15/12- 1,2502.0,Rodby,0.308333, 58.502778
2910,15/12- 1,2509.0,Sola,0.308333, 58.502778
2911,15/12- 1,2518.0,Valhall,0.308333, 58.502778
2912,15/12- 1,2560.0,Kimmeridge Clay,0.308333, 58.502778
2913,15/12- 1,2631.0,Piper,0.308333, 58.502778
2914,15/12- 1,2740.0,Sgiath,0.308333, 58.502778
2915,15/12- 1,2783.0,Pentland,0.308333, 58.502778
2916,15/12- 1,2905.0,Smith Bank,0.308333, 58.502778
2917,15/12- 1,3009.0,Turbot Anhydrite,0.308333, 58.502778
2968,15/13- 2,642.0,Horda,0.532242, 58.556597
2969,15/13- 2,884.0,Middle Mousa,0.532242, 58.556597
2970,15/13- 2,1108.0,Horda,0.532242, 58.556597
2971,15/13- 2,1230.0,Balder,0.532242, 58.556597
2972,15/13- 2,1266.0,Beauly,0.532242, 58.556597
2973,15/13- 2,1378.0,Dornoch,0.532242, 58.556597
2974,15/13- 2,1540.0,Sele,0.532242, 58.556597
2975,15/13- 2,1575.0,Lista,0.532242, 58.556597
2976,15/13- 2,2002.0,Maureen,0.532242, 58.556597
2977,15/13- 2,2033.0,Ekofisk,0.532242, 58.556597
2978,15/13- 2,2069.0,Upper Cretaceous Chalk,0.532242, 58.556597
2979,15/13- 2,2122.0,Rodby,0.532242, 58.556597
2980,15/13- 2,2129.0,Kimmeridge Clay,0.532242, 58.556597
2981,15/13- 2,2131.0,Piper,0.532242, 58.556597
2982,15/13- 2,2144.0,Pentland,0.532242, 58.556597
2983,15/13- 2,2235.0,Smith Bank,0.532242, 58.556597
2984,15/13- 2,2347.0,Turbot Anhydrite,0.532242, 58.556597
2985,15/13- 2,2464.0,Kupferschiefer,0.532242, 58.556597
2986,15/13- 2,2467.0,Carboniferous Undifferentiated,0.532242, 58.556597
2987,15/13- 3,625.0,Horda,0.498966, 58.570784
2988,15/13- 3,760.0,Middle Mousa,0.498966, 58.570784
