,Well_Number,Depth_MD,Pick_Name,x,y,FM,Group
1978,14/20- 1,560,Upper Mousa,-0.092972,58.33725,,
1979,14/20- 1,664,Middle Mousa,-0.092972,58.33725,,
1980,14/20- 1,792,Lower Mousa,-0.092972,58.33725,,
1981,14/20- 1,871,Balder,-0.092972,58.33725,BEAULY,MORAY
1982,14/20- 1,954,Beauly,-0.092972,58.33725,BEAULY,MORAY
1983,14/20- 1,1000,Dornoch,-0.092972,58.33725,DORNOCH,MORAY
1984,14/20- 1,1163,Sele,-0.092972,58.33725,DORNOCH,MORAY
1985,14/20- 1,1321,Lista,-0.092972,58.33725,LISTA,MONTROSE
1986,14/20- 1,1814,Maureen,-0.092972,58.33725,MAUREEN,MONTROSE
1987,14/20- 1,2010,Ekofisk,-0.092972,58.33725,EKOFISK,CHALK
1988,14/20- 1,2032,Upper Cretaceous Chalk,-0.092972,58.33725,TOR,CHALK
1989,14/20- 1,2242,Kimmeridge Clay,-0.092972,58.33725,,
1990,14/20- 1,2385,Piper,-0.092972,58.33725,,
1991,14/20- 1,2448,Sgiath,-0.092972,58.33725,,
1992,14/20- 1,2485,Halibut Carbonate,-0.092972,58.33725,,
1993,14/20- 1,2518,Firth Coal,-0.092972,58.33725,,
1994,14/20- 10,533,Upper Mousa,-0.122056,58.354194,,
1995,14/20- 10,652,Middle Mousa,-0.122056,58.354194,,
1996,14/20- 10,721,Lower Mousa,-0.122056,58.354194,,
1997,14/20- 10,815,Beauly,-0.122056,58.354194,BEAULY,MORAY
1998,14/20- 10,960,Dornoch,-0.122056,58.354194,DORNOCH,MORAY
1999,14/20- 10,1076,Sele,-0.122056,58.354194,DORNOCH,MORAY
2000,14/20- 10,1284,Lista,-0.122056,58.354194,LISTA,MONTROSE
2001,14/20- 10,1797,Maureen,-0.122056,58.354194,MAUREEN,MONTROSE
2002,14/20- 10,2078,Upper Cretaceous Chalk,-0.122056,58.354194,TOR,CHALK
2003,14/20- 10,2551,Rodby,-0.122056,58.354194,,
2004,14/20- 10,2624,Sola,-0.122056,58.354194,,
2005,14/20- 10,2715,Valhall,-0.122056,58.354194,,
2006,14/20- 10,2822,Kimmeridge Clay,-0.122056,58.354194,,
2007,14/20- 10,2936,Piper,-0.122056,58.354194,,
2008,14/20- 10,3102,Smith Bank,-0.122056,58.354194,,
2009,14/20- 10,3130,Turbot Anhydrite,-0.122056,58.354194,,
2010,14/20- 11,558,Upper Mousa,-0.107444,58.334972,,
2011,14/20- 11,658,Middle Mousa,-0.107444,58.334972,,
2012,14/20- 11,712,Lower Mousa,-0.107444,58.334972,,
2013,14/20- 11,850,Beauly,-0.107444,58.334972,BEAULY,MORAY
2014,14/20- 11,982,Dornoch,-0.107444,58.334972,DORNOCH,MORAY
2015,14/20- 11,1085,Sele,-0.107444,58.334972,DORNOCH,MORAY
2016,14/20- 11,1361,Lista,-0.107444,58.334972,LISTA,MONTROSE
2017,14/20- 11,1826,Maureen,-0.107444,58.334972,MAUREEN,MONTROSE
2018,14/20- 11,2028,Upper Cretaceous Chalk,-0.107444,58.334972,TOR,CHALK
2019,14/20- 11,2295,Kimmeridge Clay,-0.107444,58.334972,,
2020,14/20- 11,2382,Piper,-0.107444,58.334972,,
2021,14/20- 11,2531,Smith Bank,-0.107444,58.334972,,
2022,14/20- 11,2550,Halibut Carbonate,-0.107444,58.334972,,
2023,14/20- 11,2585,Carboniferous Undifferentiated,-0.107444,58.334972,,
2024,14/20- 12,516,Upper Mousa,-0.12235,58.402917,,
2025,14/20- 12,661,Middle Mousa,-0.12235,58.402917,,
2026,14/20- 12,703,Lower Mousa,-0.12235,58.402917,,
2027,14/20- 12,771,Balder,-0.12235,58.402917,BEAULY,MORAY
2028,14/20- 12,860,Beauly,-0.12235,58.402917,BEAULY,MORAY
2029,14/20- 12,923,Dornoch,-0.12235,58.402917,DORNOCH,MORAY
2030,14/20- 12,997,Sele,-0.12235,58.402917,DORNOCH,MORAY
2031,14/20- 12,1241,Lista,-0.12235,58.402917,LISTA,MONTROSE
2032,14/20- 12,1832,Maureen,-0.12235,58.402917,MAUREEN,MONTROSE
2033,14/20- 12,1973,Upper Cretaceous Chalk,-0.12235,58.402917,TOR,CHALK
2034,14/20- 12,2480,Rodby,-0.12235,58.402917,,
2035,14/20- 12,2605,Sola,-0.12235,58.402917,,
2036,14/20- 12,2693,Valhall,-0.12235,58.402917,,
2037,14/20- 12,2787,Kimmeridge Clay,-0.12235,58.402917,,
2038,14/20- 12,2853,Piper,-0.12235,58.402917,,
2039,14/20- 12,2912,Sgiath,-0.12235,58.402917,,
2040,14/20- 12,2919,Smith Bank,-0.12235,58.402917,,
2041,14/20- 13,515,Upper Mousa,-0.122311,58.402975,,
2042,14/20- 13,658,Middle Mousa,-0.122311,58.402975,,
2043,14/20- 13,723,Lower Mousa,-0.122311,58.402975,,
2044,14/20- 13,781,Balder,-0.122311,58.402975,BEAULY,MORAY
2045,14/20- 13,807,Beauly,-0.122311,58.402975,BEAULY,MORAY
2046,14/20- 13,922,Dornoch,-0.122311,58.402975,DORNOCH,MORAY
2047,14/20- 13,1008,Sele,-0.122311,58.402975,DORNOCH,MORAY
2048,14/20- 13,1350,Lista,-0.122311,58.402975,LISTA,MONTROSE
2049,14/20- 13,1894,Maureen,-0.122311,58.402975,MAUREEN,MONTROSE
2050,14/20- 13,2046,Upper Cretaceous Chalk,-0.122311,58.402975,TOR,CHALK
2051,14/20- 13,2622,Rodby,-0.122311,58.402975,,
2052,14/20- 13,2776,Sola,-0.122311,58.402975,,
2053,14/20- 13,2862,Valhall,-0.122311,58.402975,,
2054,14/20- 13,2938,Kimmeridge Clay,-0.122311,58.402975,,
2055,14/20- 13,2966,Piper,-0.122311,58.402975,,
2056,14/20- 13,2993,Smith Bank,-0.122311,58.402975,,
2057,14/20- 13,3124,Halibut Carbonate,-0.122311,58.402975,,
2058,14/20- 13,3164,Carboniferous Undifferentiated,-0.122311,58.402975,,
2059,14/20- 14,513,Upper Mousa,-0.122258,58.403044,,
2060,14/20- 14,657,Middle Mousa,-0.122258,58.403044,,
2061,14/20- 14,678,Lower Mousa,-0.122258,58.403044,,
2062,14/20- 14,779,Beauly,-0.122258,58.403044,BEAULY,MORAY
