,fname,wname
0,10909_d.las,15/24a- 4
1,11924_d.las,15/17- 25
2,12237_d.las,15/16b- 20
8,15463_d.las,15/21b- 45
10,15856_d.las,15/21b- 47
17,18650d001.las,15/21a- 51
19,18761_d.las,15/13a- 4Z
24,23899_d.las,14/20b- 29
25,23959d.las,15/11b- 5
29,24792d.las,15/23d- 13
31,25560d.las,15/22- 14
36,2657_d.las,15/12- 1
40,27553_d.las,15/19- 9
46,2989_d.las,15/21b- 21
48,3089_d.las,15/17- 15
51,7073_d.las,15/19- 5
54,7186_d1.las,15/16b- 18
67,853_d.las,14/20- 1
68,854_d.las,14/20- 10
69,855_d.las,14/20- 11
70,856_d.las,14/20- 12
71,857_d.las,14/20- 13
72,858_d.las,14/20- 14
73,859_d.las,14/20- 2
74,862_d.las,14/20- 5
75,864_d.las,14/20- 7
76,865_d.las,14/20- 8
77,866_d.las,14/20- 9
79,875_d.las,15/11- 1
80,881_d.las,15/13- 2
81,882_d.las,15/13- 3
82,890_d.las,15/16- 5
83,899_d.las,15/17- 4
84,901_d.las,15/17- 6
85,902_d.las,15/17- 7
86,903D001.las,15/17- 8A
87,904_d.las,15/17- 9
88,905_d.las,15/18- 1
89,906_d.las,15/18- 2
90,907_d.las,15/19- 1
91,908_d.las,15/19- 2
93,913_d.las,15/21- 1
96,9570_d.las,15/17- 24
