,fname,wname
0,10909_d.las,15/24a- 4
1,11924_d.las,15/17- 25
2,12237_d.las,15/16b- 20
3,15463_d.las,15/21b- 45
4,15856_d.las,15/21b- 47
5,18650d001.las,15/21a- 51
6,18761_d.las,15/13a- 4Z
7,23899_d.las,14/20b- 29
8,23959d.las,15/11b- 5
9,24792d.las,15/23d- 13
10,25560d.las,15/22- 14
11,2657_d.las,15/12- 1
12,27553_d.las,15/19- 9
13,2989_d.las,15/21b- 21
14,3089_d.las,15/17- 15
15,7073_d.las,15/19- 5
16,7186_d1.las,15/16b- 18
17,853_d.las,14/20- 1
18,854_d.las,14/20- 10
19,855_d.las,14/20- 11
20,856_d.las,14/20- 12
21,857_d.las,14/20- 13
22,858_d.las,14/20- 14
23,859_d.las,14/20- 2
24,862_d.las,14/20- 5
25,864_d.las,14/20- 7
26,865_d.las,14/20- 8
27,866_d.las,14/20- 9
28,875_d.las,15/11- 1
29,881_d.las,15/13- 2
30,882_d.las,15/13- 3
31,890_d.las,15/16- 5
32,899_d.las,15/17- 4
33,901_d.las,15/17- 6
34,902_d.las,15/17- 7
35,903D001.las,15/17- 8A
36,904_d.las,15/17- 9
37,905_d.las,15/18- 1
38,906_d.las,15/18- 2
39,907_d.las,15/19- 1
40,908_d.las,15/19- 2
41,913_d.las,15/21- 1
42,9570_d.las,15/17- 24
