,wellname,GR,DT,RHOB,ILD,Top,TopX,TopY
0,14/20-1,8.0335,,,,Upper Mousa,,
1,14/20-1,7.8714,,,,Upper Mousa,,
2,14/20-1,7.6815,,,,Upper Mousa,,
3,14/20-1,7.4982,,,,Upper Mousa,,
4,14/20-1,7.5021,,,,Upper Mousa,,
5,14/20-1,7.8622,,,,Upper Mousa,,
6,14/20-1,8.2287,,,,Upper Mousa,,
7,14/20-1,8.5982,,,,Upper Mousa,,
8,14/20-1,9.093,,,,Upper Mousa,,
9,14/20-1,8.5713,,,,Upper Mousa,,
10,14/20-1,8.0002,,,,Upper Mousa,,
11,14/20-1,8.0534,,,,Upper Mousa,,
12,14/20-1,8.6248,,,,Upper Mousa,,
13,14/20-1,9.7107,,,,Upper Mousa,,
14,14/20-1,10.3277,,,,Upper Mousa,,
15,14/20-1,9.635,,,,Upper Mousa,,
16,14/20-1,8.9907,,,,Upper Mousa,,
17,14/20-1,8.0731,,,,Upper Mousa,,
18,14/20-1,7.3443,,,,Upper Mousa,,
19,14/20-1,7.0291,,,,Upper Mousa,,
20,14/20-1,6.8256,,,,Upper Mousa,,
21,14/20-1,7.0359,,,,Upper Mousa,,
22,14/20-1,7.4241,,,,Upper Mousa,,
23,14/20-1,7.816,,,,Upper Mousa,,
24,14/20-1,7.8126,,,,Upper Mousa,,
25,14/20-1,7.8092,,,,Upper Mousa,,
26,14/20-1,8.0275,,,,Upper Mousa,,
27,14/20-1,9.0441,,,,Upper Mousa,,
28,14/20-1,10.0382,,,,Upper Mousa,,
29,14/20-1,10.7488,,,,Upper Mousa,,
30,14/20-1,10.7943,,,,Upper Mousa,,
31,14/20-1,10.791,,,,Upper Mousa,,
32,14/20-1,10.7876,,,,Upper Mousa,,
33,14/20-1,10.9845,,,,Upper Mousa,,
34,14/20-1,10.9811,,,,Upper Mousa,,
35,14/20-1,10.9907,,,,Upper Mousa,,
36,14/20-1,10.7743,,,,Upper Mousa,,
37,14/20-1,10.5708,,,,Upper Mousa,,
38,14/20-1,9.7724,,,,Upper Mousa,,
39,14/20-1,8.6348,,,,Upper Mousa,,
40,14/20-1,7.7582,,,,Upper Mousa,,
41,14/20-1,7.5546,,,,Upper Mousa,,
42,14/20-1,7.5512,,,,Upper Mousa,,
43,14/20-1,7.2685,,,,Upper Mousa,,
44,14/20-1,7.244,,,,Upper Mousa,,
45,14/20-1,7.5922,,,,Upper Mousa,,
46,14/20-1,7.7377,,,,Upper Mousa,,
47,14/20-1,8.5974,,,,Upper Mousa,,
48,14/20-1,9.1,,,,Upper Mousa,,
49,14/20-1,9.8027,,,,Upper Mousa,,
50,14/20-1,9.9265,,,,Upper Mousa,,
51,14/20-1,9.4371,,,,Upper Mousa,,
52,14/20-1,8.7261,,,,Upper Mousa,,
53,14/20-1,8.2142,,,,Upper Mousa,,
54,14/20-1,8.1107,,,,Upper Mousa,,
55,14/20-1,8.5078,,,,Upper Mousa,,
56,14/20-1,8.5043,,,,Upper Mousa,,
57,14/20-1,9.0237,,,,Upper Mousa,,
58,14/20-1,9.3862,,,,Upper Mousa,,
59,14/20-1,9.4955,,,,Upper Mousa,,
60,14/20-1,9.2918,,,,Upper Mousa,,
61,14/20-1,9.3802,,,,Upper Mousa,,
62,14/20-1,9.2849,,,,Upper Mousa,,
63,14/20-1,9.2815,,,,Upper Mousa,,
64,14/20-1,9.2781,,,,Upper Mousa,,
65,14/20-1,9.1745,,,,Upper Mousa,,
66,14/20-1,9.2712,,,,Upper Mousa,,
67,14/20-1,9.2678,,,,Upper Mousa,,
68,14/20-1,9.1758,,,,Upper Mousa,,
69,14/20-1,9.0606,,,,Upper Mousa,,
70,14/20-1,9.2575,,,,Upper Mousa,,
71,14/20-1,9.8551,,,,Upper Mousa,,
72,14/20-1,10.0751,,,,Upper Mousa,,
73,14/20-1,10.4493,,,,Upper Mousa,,
74,14/20-1,10.4459,,,,Upper Mousa,,
75,14/20-1,10.8432,,,,Upper Mousa,,
76,14/20-1,10.6043,,,,Upper Mousa,,
77,14/20-1,9.951,,,,Upper Mousa,,
78,14/20-1,9.0673,,,,Upper Mousa,,
79,14/20-1,8.0681,,,,Upper Mousa,,
80,14/20-1,7.0187,,,,Upper Mousa,,
81,14/20-1,7.0152,,,,Upper Mousa,,
82,14/20-1,7.0117,,,,Upper Mousa,,
83,14/20-1,7.409,,,,Upper Mousa,,
84,14/20-1,7.6059,,,,Upper Mousa,,
85,14/20-1,8.0032,,,,Upper Mousa,,
86,14/20-1,7.9997,,,,Upper Mousa,,
87,14/20-1,8.1966,,,,Upper Mousa,,
88,14/20-1,8.3935,,,,Upper Mousa,,
89,14/20-1,8.39,,,,Upper Mousa,,
90,14/20-1,8.3865,,,,Upper Mousa,,
91,14/20-1,8.7839,,,,Upper Mousa,,
92,14/20-1,8.7804,,,,Upper Mousa,,
93,14/20-1,8.9774,,,,Upper Mousa,,
94,14/20-1,8.9739,,,,Upper Mousa,,
95,14/20-1,8.9704,,,,Upper Mousa,,
96,14/20-1,8.9669,,,,Upper Mousa,,
97,14/20-1,9.1639,,,,Upper Mousa,,
98,14/20-1,9.1604,,,,Upper Mousa,,
99,14/20-1,8.9559,,,,Upper Mousa,,
100,14/20-1,8.9519,,,,Upper Mousa,,
101,14/20-1,8.9479,,,,Upper Mousa,,
102,14/20-1,8.9168,,,,Upper Mousa,,
103,14/20-1,8.6391,,,,Upper Mousa,,
104,14/20-1,8.5348,,,,Upper Mousa,,
105,14/20-1,8.5308,,,,Upper Mousa,,
106,14/20-1,8.5268,,,,Upper Mousa,,
107,14/20-1,8.7233,,,,Upper Mousa,,
108,14/20-1,8.7193,,,,Upper Mousa,,
109,14/20-1,8.7153,,,,Upper Mousa,,
110,14/20-1,8.7113,,,,Upper Mousa,,
111,14/20-1,8.7073,,,,Upper Mousa,,
112,14/20-1,9.2045,,,,Upper Mousa,,
113,14/20-1,9.5013,,,,Upper Mousa,,
114,14/20-1,9.6977,,,,Upper Mousa,,
115,14/20-1,9.6937,,,,Upper Mousa,,
116,14/20-1,9.6897,,,,Upper Mousa,,
117,14/20-1,9.4852,,,,Upper Mousa,,
118,14/20-1,9.4812,,,,Stronsay,,
119,14/20-1,9.4772,,,,Stronsay,,
120,14/20-1,9.4732,,,,Stronsay,,
121,14/20-1,9.6381,,,,Stronsay,,
122,14/20-1,9.6657,,,,Stronsay,,
123,14/20-1,10.1629,,,,Stronsay,,
124,14/20-1,10.2591,,,,Stronsay,,
125,14/20-1,10.4556,,,,Stronsay,,
126,14/20-1,10.4516,,,,Stronsay,,
127,14/20-1,10.2471,,,,Stronsay,,
128,14/20-1,9.6416,,,,Stronsay,,
129,14/20-1,9.2366,,,,Stronsay,,
130,14/20-1,9.5437,,,,Stronsay,,
131,14/20-1,9.698,,,,Stronsay,,
132,14/20-1,10.1655,,,,Stronsay,,
133,14/20-1,10.51,,,,Stronsay,,
134,14/20-1,11.354,,,,Stronsay,,
135,14/20-1,11.522,,,,Stronsay,,
136,14/20-1,11.815,,,,Stronsay,,
137,14/20-1,11.811,,,,Stronsay,,
138,14/20-1,12.0777,,,,Stronsay,,
139,14/20-1,12.204,,,,Stronsay,,
140,14/20-1,12.4005,,,,Stronsay,,
141,14/20-1,12.3965,,,,Stronsay,,
142,14/20-1,12.3925,,,,Stronsay,,
143,14/20-1,12.188,,,,Stronsay,,
144,14/20-1,12.184,,,,Stronsay,,
145,14/20-1,11.7789,,,,Stronsay,,
146,14/20-1,11.5131,,,,Stronsay,,
147,14/20-1,11.3699,,,,Stronsay,,
148,14/20-1,11.2657,,,,Stronsay,,
