OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
1,11/30- 6,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,,,,-3.190630483999996,58.00349952200003
17,110/02a- 12,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.641161770999986,53.92508674499999
34,110/02b- 10,OGA Offshore Wells,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.744495099000005,53.84310081299998
38,110/03b- 6A,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.4506959340000094,53.935875485
39,110/03c- 5,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.464122139999972,53.87773244700003
41,110/04- 2,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.320304338000028,53.83295081099999
42,110/06- 2,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.9138055600000143,53.69652199500001
50,110/07a- 8,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.6459390460000236,53.790806377000024
53,110/07b- 9,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.660919397999976,53.70749552500001
55,110/08- 2,OGA Offshore Wells,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5578824049999866,53.82722565
56,13/22a- 21,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.7306376899999805,58.28671772400003
57,110/13- 9,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.4853988780000122,53.54796763899998
59,110/13b- 19,OGA Offshore Wells,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.588689448000025,53.52804571399997
60,110/13b- 21,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5371121119999884,53.522303177000026
64,110/14- 4,OGA Offshore Wells,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.2110916650000263,53.657168544
65,110/14- 5,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.235628874999975,53.534039311000015
66,110/14b- 7,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.4006402900000126,53.55591095
67,110/17- 1,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.6422053480000045,53.46343499400001
69,110/18- 2,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5692293569999833,53.423748649000004
70,110/18- 2Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.5692293569999833,53.423748649000004
77,113/22- 1,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.7581075709999823,54.31324081399998
78,113/22- 1Z,OGA Offshore Wells,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.7581075709999823,54.31324081399998
80,113/26a- 2,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.8132680859999937,54.02170568399998
86,113/27a- 4,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-3.772822768000026,54.010087820000024
87,113/27a- 4Z,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-3.772822768000026,54.010087820000024
111,109/05- 1,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.163713502000007,53.84855169299999
112,109/15- 1,OGA Offshore Wells,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,-4.068252366000024,53.568507977000024
113,11/24- 1,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-3.271681686000022,58.263023815999986
114,11/24a- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,-3.2861309759999813,58.19809327899998
